"Term","Frequency","Correlation"
"extend",17,0.12577502358943
"anoth",6,0.125711316354186
"twentythird",3,0.125615862101932
"faith",24,0.124828742159294
"suffici",7,0.124589251961397
"first",37,0.124062459646467
"tenth",4,0.123361644141648
"upward",2,0.123321362234976
"valuabl",7,0.122552903189036
"eleven",4,0.122247576440077
"eastern",14,0.122141774589436
"kept",7,0.121692807327168
"truli",8,0.121002493124593
"harbour",3,0.120816620999026
"credit",4,0.120558889011179
"particular",8,0.117936358374586
"carri",20,0.116966189625566
"differ",12,0.116709239161724
"heretofor",16,0.115358278266977
"everi",28,0.115300530464142
"troubl",16,0.115293978312646
"intent",7,0.114714277912955
"lake",34,0.113924750478905
"dead",2,0.112475171177839
"land",41,0.112278810948796
"aquart",1,0.1113779352395
"bounc",1,0.1113779352395
"chippawaw",1,0.1113779352395
"corn",1,0.1113779352395
"fiftythousand",1,0.1113779352395
"matcheda",1,0.1113779352395
"nottawaysagu",1,0.1113779352395
"opetequoyaws",1,0.1113779352395
"penetangushin",1,0.1113779352395
"pepper",1,0.1113779352395
"southwestern",1,0.1113779352395
"sundri",1,0.1113779352395
"aisainc",1,0.1113779352395
"kinaybicoinini",1,0.1113779352395
"misquuckkey",1,0.1113779352395
"york",7,0.111021384134424
"chain",6,0.110984846018841
"equiti",3,0.110615069682774
"chipeweigh",1,0.109216030081709
"chippeweigh",1,0.109216030081709
"confeder",1,0.109216030081709
"deceas",1,0.109216030081709
"eighton",1,0.109216030081709
"guy",1,0.109216030081709
"handsom",1,0.109216030081709
"missisaga",1,0.109216030081709
"weghqueta",1,0.109216030081709
"zeal",1,0.109216030081709
"defect",2,0.10852465682139
"william",20,0.107592400199817
"three",24,0.106108238545709
"mapl",3,0.106024539282609
"delin",2,0.105126673068816
"thereunto",5,0.104884990380392
"matchedash",3,0.104391549704061
"unanim",3,0.104343228523826
"expressli",3,0.103550871365728
"bless",2,0.103504250946703
"easement",2,0.103504250946703
"loyalti",2,0.103114176316948
"distant",9,0.101491009208922
"save",18,0.101110223230234
"seventyfour",4,0.100606767193717
"annuit",2,0.100591823760761
"fourteen",3,0.100516400676215
"ninetynin",2,0.098310506648826
"base",2,0.096594352297027
"wherea",28,0.0960349500057028
"town",3,0.0950846327627427
"acheton",1,0.0946514997813761
"chechalk",1,0.0946514997813761
